date,ticker,factor
2014-01-30,002094.SZ,801140.SI
2014-01-30,002096.SZ,801030.SI
2014-01-30,002098.SZ,801130.SI
2014-01-30,002099.SZ,801150.SI
2014-01-30,002100.SZ,801010.SI
2014-01-30,002102.SZ,801140.SI
2014-01-30,002103.SZ,801140.SI
2014-01-30,002106.SZ,801080.SI
2014-01-30,002107.SZ,801150.SI
2014-01-30,002108.SZ,801030.SI
2014-01-30,002109.SZ,801030.SI
2014-01-30,002110.SZ,801040.SI
2014-01-30,002113.SZ,801230.SI
2014-01-30,002114.SZ,801050.SI
2014-01-30,002117.SZ,801140.SI
2014-01-30,002118.SZ,801150.SI
2014-01-30,002119.SZ,801080.SI
2014-01-30,002120.SZ,801140.SI
2014-01-30,002124.SZ,801010.SI
2014-01-30,002125.SZ,801030.SI
2014-01-30,002127.SZ,801030.SI
2014-01-30,002128.SZ,801020.SI
2014-01-30,002129.SZ,801080.SI
2014-01-30,002130.SZ,801050.SI
2014-01-30,002133.SZ,801180.SI
2014-01-30,002134.SZ,801080.SI
2014-01-30,002136.SZ,801030.SI
2014-01-30,002137.SZ,801080.SI
2014-01-30,002138.SZ,801080.SI
2014-01-30,002139.SZ,801080.SI
2014-01-30,002141.SZ,801080.SI
2014-01-30,002143.SZ,801010.SI
2014-01-30,002144.SZ,801130.SI
2014-01-30,002145.SZ,801030.SI
2014-01-30,002146.SZ,801180.SI
2014-01-30,002149.SZ,801050.SI
2014-01-30,002154.SZ,801130.SI
2014-01-30,002155.SZ,801050.SI
2014-01-30,002156.SZ,801080.SI
2014-01-30,002157.SZ,801010.SI
2014-01-30,002159.SZ,801210.SI
2014-01-30,002160.SZ,801050.SI
2014-01-30,002161.SZ,801080.SI
2014-01-30,002165.SZ,801030.SI
2014-01-30,002166.SZ,801150.SI
2014-01-30,002167.SZ,801050.SI
2014-01-30,002170.SZ,801030.SI
2014-01-30,002171.SZ,801050.SI
2014-01-30,002172.SZ,801030.SI
2014-01-30,002173.SZ,801010.SI
2014-01-30,002174.SZ,801140.SI
2014-01-30,002179.SZ,801080.SI
2014-01-30,002182.SZ,801050.SI
2014-01-30,002183.SZ,801170.SI
2014-01-30,002185.SZ,801080.SI
2014-01-30,002186.SZ,801210.SI
2014-01-30,002187.SZ,801200.SI
2014-01-30,002188.SZ,801080.SI
2014-01-30,002189.SZ,801080.SI
2014-01-30,002191.SZ,801140.SI
2014-01-30,002192.SZ,801030.SI
2014-01-30,002193.SZ,801130.SI
2014-01-30,002198.SZ,801150.SI
2014-01-30,002199.SZ,801080.SI
2014-01-30,002201.SZ,801030.SI
2014-01-30,002203.SZ,801050.SI
2014-01-30,002206.SZ,801030.SI
2014-01-30,002207.SZ,801020.SI
2014-01-30,002208.SZ,801180.SI
2014-01-30,002210.SZ,801170.SI
2014-01-30,002211.SZ,801030.SI
2014-01-30,002214.SZ,801080.SI
2014-01-30,002215.SZ,801030.SI
2014-01-30,002216.SZ,801120.SI
2014-01-30,002217.SZ,801030.SI
2014-01-30,002219.SZ,801150.SI
2014-01-30,002220.SZ,801010.SI
2014-01-30,002221.SZ,801030.SI
2014-01-30,002222.SZ,801080.SI
2014-01-30,002223.SZ,801150.SI
2014-01-30,002224.SZ,801030.SI
2014-01-30,002226.SZ,801030.SI
2014-01-30,002228.SZ,801140.SI
2014-01-30,002229.SZ,801140.SI
