date,secID,factor
2014-01-30,000835.SZ,1664266500.0
2014-01-30,000836.SZ,1667237551.2
2014-01-30,000837.SZ,2580510240.0
2014-01-30,000838.SZ,1232608093.2
2014-01-30,000839.SZ,9862283102.89
2014-01-30,000848.SZ,8731790496.0
2014-01-30,000850.SZ,4104942789.15
2014-01-30,000851.SZ,8316952800.0
2014-01-30,000852.SZ,6758752000.0
2014-01-30,000856.SZ,1150890000.0
2014-01-30,000858.SZ,55572952780.8
2014-01-30,000859.SZ,1450656000.0
2014-01-30,000860.SZ,6218497200.0
2014-01-30,000861.SZ,5084312018.78
2014-01-30,000862.SZ,1834280640.0
2014-01-30,000863.SZ,4520788461.0
2014-01-30,000868.SZ,2517947482.86
2014-01-30,000869.SZ,16574519520.0
2014-01-30,000875.SZ,3812197828.95
2014-01-30,000876.SZ,20417617917.5
2014-01-30,000877.SZ,4910965025.22
2014-01-30,000878.SZ,10353875228.0
2014-01-30,000880.SZ,1998967620.0
2014-01-30,000881.SZ,1779369984.0
2014-01-30,000882.SZ,6077215951.17
2014-01-30,000883.SZ,14521855375.8
2014-01-30,000885.SZ,2432755913.1
2014-01-30,000886.SZ,3638888144.0
2014-01-30,000887.SZ,8656672231.3
2014-01-30,000888.SZ,4531452677.2
2014-01-30,000889.SZ,2232063035.64
2014-01-30,000890.SZ,1484398656.0
2014-01-30,000892.SZ,2139743469.6
2014-01-30,000893.SZ,4552315000.0
2014-01-30,000895.SZ,98695943392.8
2014-01-30,000897.SZ,7277725053.0
2014-01-30,000898.SZ,21197986991.7
2014-01-30,000899.SZ,3226922022.4
2014-01-30,000900.SZ,5067211517.55
2014-01-30,000901.SZ,3963184901.26
2014-01-30,000902.SZ,2600640000.0
2014-01-30,000903.SZ,2974921200.0
2014-01-30,000905.SZ,3653280000.0
2014-01-30,000906.SZ,3101082422.76
2014-01-30,000908.SZ,2744000000.0
2014-01-30,000909.SZ,1802220000.0
2014-01-30,000910.SZ,2558375000.0
2014-01-30,000911.SZ,1794366400.0
2014-01-30,000912.SZ,2843100000.0
2014-01-30,000913.SZ,2462700480.0
2014-01-30,000915.SZ,5732108650.2
2014-01-30,000916.SZ,4349100000.0
2014-01-30,000917.SZ,21830367605.2
2014-01-30,000918.SZ,4474394920.0
2014-01-30,000919.SZ,4510800000.0
2014-01-30,000920.SZ,3591220000.0
2014-01-30,000921.SZ,15178953747.5
2014-01-30,000922.SZ,3527422149.77
2014-01-30,000923.SZ,1170180000.0
2014-01-30,000925.SZ,3686243198.72
2014-01-30,000926.SZ,4986489550.0
2014-01-30,000927.SZ,5407639927.8
2014-01-30,000928.SZ,2212270180.0
2014-01-30,000929.SZ,1391387340.0
2014-01-30,000930.SZ,3635829903.55
2014-01-30,000931.SZ,3752148986.4
2014-01-30,000932.SZ,5367857044.5
2014-01-30,000933.SZ,8077125000.0
2014-01-30,000935.SZ,3344130660.0
2014-01-30,000936.SZ,2640485491.11
2014-01-30,000937.SZ,15218778062.3
2014-01-30,000938.SZ,6345203200.0
2014-01-30,000939.SZ,5716451328.0
2014-01-30,000948.SZ,2056694423.64
2014-01-30,000949.SZ,2230605840.38
2014-01-30,000950.SZ,2203581184.8
2014-01-30,000951.SZ,4420744770.0
2014-01-30,000952.SZ,1804728528.21
2014-01-30,000953.SZ,1273277362.21
2014-01-30,000955.SZ,1679792400.0
2014-01-30,000957.SZ,2308727916.0
2014-01-30,000958.SZ,2300950680.0
2014-01-30,000959.SZ,5784725811.15
2014-01-30,000960.SZ,11661862560.8
2014-01-30,000961.SZ,9424462553.82
2014-01-30,000962.SZ,4205543423.76
2014-01-30,000963.SZ,20018846784.9
2014-01-30,000965.SZ,3427069031.1
2014-01-30,000966.SZ,3291603717.6
2014-01-30,000967.SZ,1617632182.08
2014-01-30,000968.SZ,3853102500.0
2014-01-30,000969.SZ,6030946472.52
2014-01-30,000970.SZ,14039336000.0
2014-01-30,000971.SZ,1278706000.0
2014-01-30,000972.SZ,2691779690.71
2014-01-30,000973.SZ,3840669988.87
2014-01-30,000975.SZ,9021084547.71
2014-01-30,000976.SZ,1800993383.72
2014-01-30,000977.SZ,9533100000.0
2014-01-30,000978.SZ,2117388000.0
2014-01-30,000979.SZ,6461199202.08
2014-01-30,000980.SZ,2381911400.0
2014-01-30,000981.SZ,6940762016.0
2014-01-30,000982.SZ,6002407561.75
